Dates (par semaine),Horaires hebdomadaires,Observations hebdomadaires (assiduité, ponctualité…),Tâche(s) effectuée(s),Total heures,Signature du stagiaire,Signature du tuteur
01/01/2024 - 07/01/2024,Lundi à Samedi, 09:00 - 17:00,Présence régulière et ponctuelle,"Étude du projet, brainstorming des cas d'utilisation, étude de la méthodologie SCRUMBAN",48 heures,[Votre signature],[Signature du tuteur]
08/01/2024 - 14/01/2024,Lundi à Samedi, 09:00 - 17:00,Présence régulière et ponctuelle,"Étude des frameworks, formation sur React et MUI",48 heures,[Votre signature],[Signature du tuteur]
15/01/2024 - 21/01/2024,Lundi à Samedi, 09:00 - 17:00,Présence régulière et ponctuelle,"Formation sur Node.js, Express, et MongoDB",48 heures,[Votre signature],[Signature du tuteur]
22/01/2024 - 28/01/2024,Lundi à Samedi, 09:00 - 17:00,Présence régulière et ponctuelle,"Mise en place du projet, collecte des ressources pour le développement",48 heures,[Votre signature],[Signature du tuteur]
29/01/2024 - 04/02/2024,Lundi à Samedi, 09:00 - 17:00,Présence régulière et ponctuelle,"Sprint 1 : Authentification backend",48 heures,[Votre signature],[Signature du tuteur]
05/02/2024 - 18/02/2024,Lundi à Samedi, 09:00 - 17:00,Présence régulière et ponctuelle,"Sprint 1 : Gestion des comptes frontend",96 heures,[Votre signature],[Signature du tuteur]
19/02/2024 - 03/03/2024,Lundi à Samedi, 09:00 - 17:00,Présence régulière et ponctuelle,"Sprint 2 : Importation des fichiers CSV et nettoyage automatique backend",96 heures,[Votre signature],[Signature du tuteur]
04/03/2024 - 17/03/2024,Lundi à Samedi, 09:00 - 17:00,Présence régulière et ponctuelle,"Sprint 3 : Gestion des journaux et des rapports financiers frontend",96 heures,[Votre signature],[Signature du tuteur]
18/03/2024 - 24/03/2024,Lundi à Samedi, 09:00 - 17:00,Présence régulière et ponctuelle,"Sprint 4 : Visualisation des statistiques backend",48 heures,[Votre signature],[Signature du tuteur]
25/03/2024 - 31/03/2024,Lundi à Samedi, 09:00 - 17:00,Présence régulière et ponctuelle,"Rédaction du rapport",48 heures,[Votre signature],[Signature du tuteur]
